MUNICIPALITY,YEAR,FARM TYPE,CROP,MONTH,Area planted(ha),Area harvested(ha),Production(mt),Productivity(mt/ha),Rain Value (mm)
ATOK,2015,RAINFED,SWEET PEPPER,JUN,5,1.85,14.8,8.0,404.7
ATOK,2015,RAINFED,SWEET PEPPER,JUL,5,1.63,13.01,8.0,884.6
ATOK,2015,RAINFED,SWEET PEPPER,AUG,5,5.0,55,11.0,684.4
ATOK,2015,RAINFED,SWEET PEPPER,SEP,5,5.0,55,11.0,368.9
ATOK,2015,RAINFED,SWEET PEPPER,OCT,5,5.0,55,11.0,658.2
ATOK,2015,RAINFED,SWEET PEPPER,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,SWEET PEPPER,DEC,5,5.0,55,11.0,192.1
ATOK,2015,RAINFED,WHITE POTATO,JAN,5,110.0,1870,17.0,41.6
ATOK,2015,RAINFED,WHITE POTATO,FEB,5,84.3,1433.1,17.0,47.9
ATOK,2015,RAINFED,WHITE POTATO,MAR,85.75,5.0,55,11.0,75.3
ATOK,2015,RAINFED,WHITE POTATO,APR,87,5.0,55,11.0,171.1
ATOK,2015,RAINFED,WHITE POTATO,MAY,66.55,5.0,55,11.0,197.5
ATOK,2015,RAINFED,WHITE POTATO,JUN,5,87.75,1715,19.54,404.7
ATOK,2015,RAINFED,WHITE POTATO,JUL,5,87.0,1740,20.0,884.6
ATOK,2015,RAINFED,WHITE POTATO,AUG,5,66.55,1331,20.0,684.4
ATOK,2015,RAINFED,WHITE POTATO,SEP,100,71.0,284,4.0,368.9
ATOK,2015,RAINFED,WHITE POTATO,OCT,100,5.0,55,11.0,658.2
ATOK,2015,RAINFED,WHITE POTATO,NOV,54,5.0,55,11.0,31.0
ATOK,2015,RAINFED,WHITE POTATO,DEC,5,50.0,200,4.0,192.1
ATOK,2015,RAINFED,CARROTS,JAN,5,5.0,55,11.0,41.6
ATOK,2015,RAINFED,CARROTS,FEB,5,5.0,55,11.0,47.9
ATOK,2015,RAINFED,CARROTS,MAR,202.23,5.0,55,11.0,75.3
ATOK,2015,RAINFED,CARROTS,APR,202.23,5.0,55,11.0,171.1
ATOK,2015,RAINFED,CARROTS,MAY,5,5.0,55,11.0,197.5
ATOK,2015,RAINFED,CARROTS,JUN,5,202.23,3235.68,16.0,404.7
ATOK,2015,RAINFED,CARROTS,JUL,5,202.23,2831.22,14.0,884.6
ATOK,2015,RAINFED,CARROTS,AUG,11.65,5.0,55,11.0,684.4
ATOK,2015,RAINFED,CARROTS,SEP,100,5.0,55,11.0,368.9
ATOK,2015,RAINFED,CARROTS,OCT,59,5.0,55,11.0,658.2
ATOK,2015,RAINFED,CARROTS,NOV,5,5.0,55,11.0,31.0
ATOK,2015,RAINFED,CARROTS,DEC,5,10.0,50,5.0,192.1
BAKUN,2015,IRRIGATED,CABBAGE,JAN,17.46,5.0,55,11.0,41.6
BAKUN,2015,IRRIGATED,CABBAGE,FEB,76.03,5.0,55,11.0,47.9
BAKUN,2015,IRRIGATED,CABBAGE,MAR,130,17.46,349.2,20.0,75.3
BAKUN,2015,IRRIGATED,CABBAGE,APR,135,76.03,1520.6,20.0,171.1
BAKUN,2015,IRRIGATED,CABBAGE,MAY,150,130.0,2600,20.0,197.5
BAKUN,2015,IRRIGATED,CABBAGE,JUN,5,135.0,2700,20.0,404.7
BAKUN,2015,IRRIGATED,CABBAGE,JUL,5,125.0,2500,20.0,884.6
BAKUN,2015,IRRIGATED,CABBAGE,AUG,5,25.0,500,20.0,684.4
BAKUN,2015,IRRIGATED,CABBAGE,SEP,155,5.0,55,11.0,368.9
